Flavor,Technique,Dataset,Duration,AD1_AUC,VUS_PR
Incremental ,LocalOutlierFactor,EDP,878,0.572466719914803,0.3490585381258764
Incremental ,LocalOutlierFactor,EDP,902,0.5876682405296862,0.3525698829252601
Incremental ,LocalOutlierFactor,EDP,811,0.7263234077750207,0.3385871894036028
Incremental ,LocalOutlierFactor,EDP,920,0.8220264847512039,0.336321590670758
Incremental ,LocalOutlierFactor,EDP,960,0.5198910856443006,0.34191657563182426
Incremental ,LocalOutlierFactor,EDP,3463,0.5781179854096521,0.3343627811277411
Incremental ,LocalOutlierFactor,EDP,895,0.5336790075596045,0.34821750128564655
Incremental ,LocalOutlierFactor,EDP,782,0.7426470588235293,0.350511575900914
Incremental ,LocalOutlierFactor,EDP,2847,0.6272602221623527,0.3379928847192588
Incremental ,LocalOutlierFactor,EDP,9062,0.4820862232497481,0.3174153993349094
Incremental ,LocalOutlierFactor,EDP,904,0.6747573779795688,0.33558357395777005
Incremental ,LocalOutlierFactor,EDP,890,0.7344451571520205,0.3332849545481935
Incremental ,LocalOutlierFactor,EDP,846,0.5835997587948846,0.33933932680494344
Incremental ,LocalOutlierFactor,EDP,874,0.732520120724346,0.3402937375878111
Incremental ,LocalOutlierFactor,EDP,9104,0.3481160616061606,0.3341729770411205
Incremental ,LocalOutlierFactor,EDP,2779,0.5856129554295215,0.34105733848199765
Incremental ,LocalOutlierFactor,EDP,869,0.5490552037989711,0.3283094749270542
Incremental ,NeighborProfile,EDP,10953,0.42994045206362325,0.2607473453564381
Incremental ,NeighborProfile,EDP,8001,0.6753160543732414,0.3291503522299873
Incremental ,NeighborProfile,EDP,2724,0.2865985816467176,0.2616181028040945
Incremental ,NeighborProfile,EDP,9034,0.6663651797805041,0.28499993715067573
Incremental ,NeighborProfile,EDP,18885,0.4428829827746984,0.30996326381538036
Incremental ,NeighborProfile,EDP,9515,0.2329273880200054,0.32821255103363906
Incremental ,NeighborProfile,EDP,3987,0.4446848725977378,0.2669569753197909
Incremental ,NeighborProfile,EDP,3337,0.5205314995568671,0.27635055764412214
Incremental ,NeighborProfile,EDP,15624,0.5238612388883543,0.27828433828634597
Incremental ,NeighborProfile,EDP,15030,0.6704763883838122,0.3229069089239662
Incremental ,NeighborProfile,EDP,7710,0.6730331969076853,0.32319462564836304
Incremental ,NeighborProfile,EDP,9341,0.24859771301013084,0.33892704043812655
Incremental ,NeighborProfile,EDP,20115,0.4250349836539984,0.3214387058353727
Incremental ,NeighborProfile,EDP,3616,0.4752042762185077,0.3191626927441148
Incremental ,NeighborProfile,EDP,7187,0.6685272858339666,0.31691763267176515
Incremental ,NeighborProfile,EDP,14836,0.6939014619062979,0.3222919935555705
Incremental ,NeighborProfile,EDP,8035,0.6740260758236877,0.32325743930569195
Incremental ,NeighborProfile,EDP,15864,0.2691147412698449,0.338792802283735
Incremental ,NeighborProfile,EDP,7345,0.3865786546506526,0.28418411080911843
Incremental ,NeighborProfile,EDP,6026,0.216349130016043,0.3216582717690834
Incremental ,NeighborProfile,EDP,4873,0.3666618554810339,0.23947875284278647
Incremental ,NeighborProfile,EDP,2465,0.33818655491452904,0.2680986099756172
Incremental ,NeighborProfile,EDP,2152,0.67178357580311,0.3276864262883435
Incremental ,NeighborProfile,EDP,5415,0.3206631168461732,0.27590157963613104
Incremental ,NeighborProfile,EDP,7356,0.6124348349702752,0.2758116524999865
Incremental ,NeighborProfile,EDP,5109,0.672428167516493,0.32362361949941437
Incremental ,NeighborProfile,EDP,12788,0.32492935139895673,0.30928294172602544
Incremental ,NeighborProfile,EDP,19982,0.6227263876473703,0.33476768980081356
Incremental ,NeighborProfile,EDP,16184,0.3549668034130738,0.2676480405848849
Incremental ,NeighborProfile,EDP,7746,0.3229547130723086,0.29533507913327617
Incremental ,NeighborProfile,EDP,6903,0.6668091023653983,0.3167045104372139
Incremental ,NeighborProfile,EDP,16629,0.35842549737826834,0.27296982123172986
Incremental ,NeighborProfile,EDP,7443,0.6626350702013455,0.31002402809949764
Incremental ,NeighborProfile,EDP,6496,0.33590271772204605,0.3482347132903663
Incremental ,NeighborProfile,EDP,15120,0.6410632854440591,0.2939693452468704
Incremental ,NeighborProfile,EDP,6946,0.6937142340996565,0.26802294890065564
Incremental ,NeighborProfile,EDP,3612,0.3431206916582759,0.33953368193679667
Incremental ,NeighborProfile,EDP,12801,0.461660916426101,0.36026778071591836
Incremental ,NeighborProfile,EDP,8401,0.16795586062984028,0.25678869238719804
Incremental ,NeighborProfile,EDP,4974,0.4125232694059202,0.31227425388073016
Incremental ,NeighborProfile,EDP,8890,0.6814212693454493,0.33376793298668467
Incremental ,NeighborProfile,EDP,5853,0.5408229562916176,0.2600234648324753
Incremental ,NeighborProfile,EDP,1978,0.4717135940481211,0.25086263483429094
Incremental ,NeighborProfile,EDP,15508,0.5732665859871937,0.2779912698670261
Incremental ,NeighborProfile,EDP,8480,0.2939928093882938,0.25819671215857043
Incremental ,NeighborProfile,EDP,8825,0.2636975054497627,0.28144968371426804
Incremental ,NeighborProfile,EDP,15163,0.805842076418746,0.3508891566247541
Incremental ,NeighborProfile,EDP,6551,0.6091625154977971,0.25976135132995765
Incremental ,NeighborProfile,EDP,8218,0.3413469994150229,0.2774673873774443
Incremental ,NeighborProfile,EDP,15140,0.20212656153770536,0.27847885833876623
Incremental ,Distance Based k (semi),EDP,557,0.7809236117506806,0.32353035859015167
Incremental ,Distance Based k (semi),EDP,575,0.7953676922295911,0.3467251216049835
Incremental ,Distance Based k (semi),EDP,649,0.8414970930232558,0.31036916999984754
Incremental ,Distance Based k (semi),EDP,713,0.8308075510428031,0.32353857196519087
Incremental ,Distance Based k (semi),EDP,618,0.9017272624405446,0.3466502585327433
Incremental ,Distance Based k (semi),EDP,758,0.6398375450761327,0.31872547719501393
Incremental ,Distance Based k (semi),EDP,2808,0.4877789971615055,0.2771623236338012
Incremental ,Distance Based k (semi),EDP,851,0.8105101101922266,0.3357294296424785
Incremental ,Distance Based k (semi),EDP,751,0.8728427329113114,0.3269843632032425
Incremental ,Distance Based k (semi),EDP,743,0.6922677737415672,0.30762552428171996
Incremental ,Distance Based k (semi),EDP,699,0.7867365097405481,0.3405568640989155
Incremental ,Distance Based k (semi),EDP,853,0.5978034589516388,0.3262165155508302
Incremental ,Distance Based k (semi),EDP,879,0.6535024372630438,0.3234866218954811
Incremental ,Distance Based k (semi),EDP,2892,0.6328822958721496,0.291606198763488
Incremental ,Distance Based k (semi),EDP,861,0.7784423974159589,0.34367366505883157
Incremental ,Distance Based k (semi),EDP,3590,0.49198416194298356,0.2767403732251265
Incremental ,Distance Based k (semi),EDP,3427,0.5167797263029499,0.278376056309023
Incremental ,Distance Based k (semi),EDP,3200,0.618263192941922,0.29811448887522896
Incremental ,Distance Based k (semi),EDP,3552,0.40007504756762313,0.28450421818539784
Incremental ,Distance Based k (semi),EDP,833,0.2770683347679787,0.3139033213047657
Incremental ,Distance Based k (semi),EDP,3855,0.3995501323457197,0.28009301512452184
Incremental ,Distance Based k (semi),EDP,782,0.7879120045603945,0.32180638747227097
Incremental ,Distance Based k (semi),EDP,833,0.831168393912023,0.3469855852798076
Incremental ,Distance Based k (semi),EDP,784,0.3633067375886525,0.3252519919787576
Incremental ,Distance Based k (semi),EDP,641,0.8572720066964278,0.3374788938238149
Incremental ,Distance Based k (semi),EDP,788,0.765225665899937,0.3310911632695593
Incremental ,Distance Based k (semi),EDP,2552,0.5513873450901671,0.2930341690609867
Incremental ,Distance Based k (semi),EDP,787,0.8346128777071733,0.3398479956881393
Incremental ,Distance Based k (semi),EDP,827,0.8441820276497696,0.3258906951063008
Incremental ,Distance Based k (semi),EDP,796,0.8242437344994126,0.32827163510796425
Incremental ,Distance Based k (semi),EDP,680,0.7694816890595566,0.3448621588004984
Incremental ,Distance Based k (semi),EDP,815,0.772966089564871,0.3249270986587552
Incremental ,Distance Based k (semi),EDP,805,0.7998629531388153,0.32927241926550604
Incremental ,Distance Based k (semi),EDP,773,0.9111929220995698,0.3458801731309528
Incremental ,Distance Based k (semi),EDP,712,0.837686231631285,0.34333450942829463
Incremental ,Distance Based k (semi),EDP,759,0.7623066607299982,0.3165778219724739
Incremental ,Distance Based k (semi),EDP,2482,0.5581424103684647,0.29705407267690603
Incremental ,Distance Based k (semi),EDP,699,0.7502516356316055,0.330346259363613
Incremental ,Distance Based k (semi),EDP,796,0.8854590592619476,0.3377152644228191
Incremental ,Distance Based k (semi),EDP,688,0.5856934115225538,0.33581573123266023
Incremental ,Distance Based k (semi),EDP,873,0.8541817131301459,0.34802600905644976
Incremental ,Distance Based k (semi),EDP,672,0.7115561837801931,0.32573446512361365
Incremental ,Distance Based k (semi),EDP,817,0.8915569710698243,0.34556882924481014
Incremental ,Distance Based k (semi),EDP,668,0.7844379040486312,0.3516177982775826
Incremental ,Distance Based k (semi),EDP,737,0.7510697032436162,0.3197180252778909
Incremental ,Distance Based k (semi),EDP,770,0.8055778646648601,0.33579725504618646
Incremental ,Distance Based k (semi),EDP,863,0.8085540807945042,0.33671025483579536
Incremental ,Distance Based k (semi),EDP,647,0.7871217369651156,0.32911666278477547
Incremental ,Distance Based k (semi),EDP,807,0.8360442780464141,0.33774728980378166
Incremental ,Distance Based k (semi),EDP,778,0.9179786094933845,0.3469928626168429
Incremental ,ProfileBased,EDP,1140,0.6711342721695481,0.33824738694439366
Incremental ,ProfileBased,EDP,890,0.6395454545454545,0.34955076794156303
Incremental ,ProfileBased,EDP,820,0.6128142637249872,0.341043019949962
Incremental ,ProfileBased,EDP,1245,0.7566699604743083,0.3273767264437382
Incremental ,ProfileBased,EDP,832,0.7143897768897769,0.3329800305492334
Incremental ,ProfileBased,EDP,895,0.8162316615489594,0.3455462656533742
Incremental ,ProfileBased,EDP,908,0.8682950191570882,0.35985098651358294
Incremental ,ProfileBased,EDP,874,0.8702904238618524,0.35226551571556564
Incremental ,ProfileBased,EDP,720,0.8279413834280422,0.35680116290246355
Incremental ,ProfileBased,EDP,42716,0.6001239128245349,0.29720332580634495
Incremental ,ProfileBased,EDP,1000,0.8485054347826086,0.34825292146759895
Incremental ,ProfileBased,EDP,1526,0.6164684225431889,0.32230358096606043
Incremental ,ProfileBased,EDP,1052,0.8484868421052632,0.34734964430350584
Incremental ,ProfileBased,EDP,755,0.8913180443548387,0.3488720326258192
Incremental ,ProfileBased,EDP,681,0.8552639563106796,0.3758416047853118
Incremental ,ProfileBased,EDP,678,0.7896883814552726,0.37543862311582277
Incremental ,ProfileBased,EDP,24925,0.6102655181275769,0.3073609215860565
Incremental ,ProfileBased,EDP,987,0.7835357889237199,0.33330238448956434
Incremental ,ProfileBased,EDP,689,0.8307882665379043,0.3708769045748157
Incremental ,ProfileBased,EDP,951,0.7379795060430898,0.3296169292114921
Incremental ,ProfileBased,EDP,715,0.8817855404089581,0.37484152616612576
Incremental ,ProfileBased,EDP,989,0.7835357889237199,0.33330238448956434
Incremental ,ProfileBased,EDP,858,0.7772403258655805,0.3480326062608941
Incremental ,ProfileBased,EDP,993,0.7002999143101971,0.3381016748248359
Incremental ,ProfileBased,EDP,33329,0.6784446960592303,0.31155254338870714
Incremental ,ProfileBased,EDP,25982,0.607057818972786,0.30209902069306266
Incremental ,ProfileBased,EDP,1095,0.826646628332462,0.3406187555157165
Incremental ,ProfileBased,EDP,1098,0.8082495016457281,0.3412096123580743
Incremental ,ProfileBased,EDP,992,0.8167014069828036,0.34045893553533696
Incremental ,ProfileBased,EDP,857,0.7671019900497511,0.3354287980582699
Incremental ,ProfileBased,EDP,1015,0.5054393481182796,0.3194496047634557
Incremental ,ProfileBased,EDP,4012,0.606004983214229,0.30212505674522316
Incremental ,ProfileBased,EDP,893,0.9009386098427195,0.3419215970852921
Incremental ,ProfileBased,EDP,1041,0.6881792194292193,0.34292164220260674
Incremental ,ProfileBased,EDP,1011,0.529254872311828,0.3238423377183486
Incremental ,ProfileBased,EDP,919,0.9018906489524783,0.36081824250728595
Incremental ,ProfileBased,EDP,1149,0.7544026776519053,0.326986143235895
Incremental ,ProfileBased,EDP,926,0.8141414141414142,0.3457228568397805
Incremental ,ProfileBased,EDP,1017,0.8467027305512622,0.34276991857941896
Incremental ,ProfileBased,EDP,34314,0.6069875031013021,0.30748963190507583
Incremental ,ProfileBased,EDP,990,0.8090909090909091,0.34756752460399887
Incremental ,ProfileBased,EDP,851,0.9189657267865825,0.3693791020150175
Incremental ,ProfileBased,EDP,852,0.860354387656702,0.3694229448372445
Incremental ,ProfileBased,EDP,974,0.7899005756148614,0.3313861282471682
Incremental ,ProfileBased,EDP,1214,0.7482558139534884,0.3328100586072506
Incremental ,ProfileBased,EDP,996,0.7753316857440167,0.33861718068535623
Incremental ,ProfileBased,EDP,1082,0.5331338087960604,0.3327283142397604
Incremental ,ProfileBased,EDP,916,0.8677945657694262,0.3416941000113315
Incremental ,ProfileBased,EDP,928,0.8209956709956711,0.3555451629979194
Incremental ,OneClassSVM,EDP,10576,0.17710149258062227,0.2521059872190717
Incremental ,OneClassSVM,EDP,633,0.3447247390338297,0.29064549789978616
Incremental ,OneClassSVM,EDP,627,0.4110131878258292,0.255497329429085
Incremental ,OneClassSVM,EDP,794,0.6646923705984222,0.3002418895606611
Incremental ,OneClassSVM,EDP,686,0.44624847892308217,0.2526339122327509
Incremental ,OneClassSVM,EDP,614,0.5767382809668112,0.25757276787504985
Incremental ,OneClassSVM,EDP,6885,0.11057965796956468,0.2435354811692499
Incremental ,OneClassSVM,EDP,899,0.6598364514929996,0.6502218961949574
Incremental ,OneClassSVM,EDP,784,0.6964285714285714,0.31055849933932955
Incremental ,OneClassSVM,EDP,741,0.15582775506652807,0.23830561755535015
Incremental ,OneClassSVM,EDP,711,0.464541999132977,0.2841182967616772
Incremental ,OneClassSVM,EDP,686,0.2730609939759036,0.2994384641817225
Incremental ,OneClassSVM,EDP,44981,0.732702837232454,0.3025552648530776
Incremental ,OneClassSVM,EDP,6665,0.1819989800715533,0.2461362485059946
Incremental ,OneClassSVM,EDP,31560,0.6602886094319279,0.6390262202045417
Incremental ,OneClassSVM,EDP,691,0.7230261925325532,0.3112242198778501
Incremental ,OneClassSVM,EDP,554,0.41241127889600776,0.3104075924087451
Incremental ,OneClassSVM,EDP,921,0.8051240208877285,0.3208664399050044
Incremental ,OneClassSVM,EDP,13372,0.11568254482031572,0.24637916566688742
Incremental ,OneClassSVM,EDP,600,0.3286892332458194,0.258430320727443
Incremental ,OneClassSVM,EDP,692,0.65912946396207,0.25129302062258796
Incremental ,OneClassSVM,EDP,2413,0.25570309680056735,0.3322933855164642
Incremental ,OneClassSVM,EDP,767,0.6906354515050167,0.32210802172940595
Incremental ,OneClassSVM,EDP,695,0.6877637130801688,0.3200738015186523
Incremental ,OneClassSVM,EDP,9892,0.11488581618038175,0.2965781667529951
Incremental ,OneClassSVM,EDP,645,0.5184149264476995,0.2502424030999267
Incremental ,OneClassSVM,EDP,647,0.3304801668454567,0.28343724499371636
Incremental ,OneClassSVM,EDP,7504,0.18981530468583716,0.2922019437778092
Incremental ,OneClassSVM,EDP,819,0.6596383317163976,0.6512408714399925
Incremental ,OneClassSVM,EDP,5672,0.1669569287762579,0.24607074317026784
Incremental ,OneClassSVM,EDP,741,0.3093666185201509,0.28592516534154777
Incremental ,OneClassSVM,EDP,674,0.6591286948788834,0.2533398035518844
Incremental ,OneClassSVM,EDP,11772,0.1778011948221672,0.2525660179502459
Incremental ,OneClassSVM,EDP,757,0.6829253290687661,0.3118777117052395
Incremental ,OneClassSVM,EDP,765,0.2954439147091741,0.2801092748196896
Incremental ,OneClassSVM,EDP,713,0.640311986863711,0.31463980052243506
Incremental ,OneClassSVM,EDP,687,0.3697418004016926,0.2586987871467745
Incremental ,OneClassSVM,EDP,690,0.39808825894113903,0.24744017852956232
Incremental ,OneClassSVM,EDP,660,0.65912946396207,0.25154904901030783
Incremental ,IsolationForest,EDP,713,0.3340480314374045,0.3194719562636534
Incremental ,IsolationForest,EDP,759,0.6721878412813979,0.3276703674501005
Incremental ,IsolationForest,EDP,753,0.8475664511494253,0.33468286766017447
Incremental ,IsolationForest,EDP,761,0.8237077838980693,0.33165281670930524
Incremental ,IsolationForest,EDP,769,0.7917018106162843,0.32739538717350136
Incremental ,IsolationForest,EDP,766,0.6694401401333963,0.31857202449851607
Incremental ,IsolationForest,EDP,758,0.7860995231108657,0.32890462168857887
Incremental ,IsolationForest,EDP,751,0.8015163077994715,0.3345659754414633
Incremental ,IsolationForest,EDP,854,0.7478115603997171,0.33493808339215625
Incremental ,IsolationForest,EDP,789,0.3912539017578446,0.313691834716051
Incremental ,IsolationForest,EDP,813,0.35360433303507016,0.31439742263496995
Incremental ,IsolationForest,EDP,782,0.7540714554545944,0.33705265161260894
Incremental ,IsolationForest,EDP,1563,0.32196568969248157,0.35807196868773533
Incremental ,IsolationForest,EDP,832,0.4634284303753944,0.3325126433337442
Incremental ,IsolationForest,EDP,805,0.7319029850746268,0.3208462626979612
Incremental ,IsolationForest,EDP,828,0.45846922136159807,0.31977967198221313
Incremental ,IsolationForest,EDP,808,0.31020784875665747,0.3393355914752288
Incremental ,IsolationForest,EDP,2442,0.37815918602090015,0.3559131479487967
Incremental ,IsolationForest,EDP,837,0.7306918623359591,0.3219752429943805
Incremental ,IsolationForest,EDP,871,0.7197215340522686,0.3283871909103247
Incremental ,IsolationForest,EDP,827,0.7543964439095757,0.3331103424672832
Incremental ,IsolationForest,EDP,661,0.3978713350543979,0.3458212719551754
Incremental ,IsolationForest,EDP,1578,0.3755085032210175,0.3468895358928005
Incremental ,IsolationForest,EDP,749,0.6180438964296784,0.34417914882436756
Incremental ,IsolationForest,EDP,769,0.7593578124617157,0.33452069923642663
Incremental ,IsolationForest,EDP,742,0.3892383323942388,0.3336513064750539
Incremental ,IsolationForest,EDP,737,0.2708998510004257,0.323713054334393
Incremental ,IsolationForest,EDP,766,0.5409217759206275,0.3307666689220168
Incremental ,IsolationForest,EDP,738,0.7514522463973399,0.3331337985403615
Incremental ,IsolationForest,EDP,764,0.8556915399239544,0.32660665812600587
Incremental ,IsolationForest,EDP,1037,0.5049342105263158,0.32731074543768834
Incremental ,IsolationForest,EDP,863,0.7046174218435144,0.33533958868048336
Incremental ,IsolationForest,EDP,870,0.7688506418414369,0.33601777931649923
Incremental ,IsolationForest,EDP,943,0.8234951682384445,0.33303441336588374
Incremental ,IsolationForest,EDP,2756,0.4279865553186448,0.34141239944748547
Incremental ,IsolationForest,EDP,909,0.7411633468459273,0.3185163558217379
Incremental ,IsolationForest,EDP,2319,0.5561715481171547,0.3416722516915074
Incremental ,IsolationForest,EDP,841,0.27656758427697514,0.32526754325063334
Incremental ,IsolationForest,EDP,1864,0.3465741936278019,0.34187530299167446
Incremental ,IsolationForest,EDP,897,0.7855525905492924,0.33154362393556946
Incremental ,IsolationForest,EDP,755,0.7197376707206675,0.32635471499284596
Incremental ,IsolationForest,EDP,813,0.7528697277095568,0.33271840718570606
Incremental ,IsolationForest,EDP,769,0.8595877183065079,0.3404945295954836
Incremental ,IsolationForest,EDP,776,0.7114850732050686,0.3222588806303005
Incremental ,IsolationForest,EDP,2292,0.4212062706733195,0.3458671429419845
Incremental ,IsolationForest,EDP,765,0.5937039106397994,0.3218043730177304
Incremental ,IsolationForest,EDP,801,0.7553877250635949,0.3221917856427685
Incremental ,IsolationForest,EDP,796,0.6933055049759007,0.3278860023485133
Incremental ,IsolationForest,EDP,809,0.7572624279078007,0.32807973079193686
Incremental ,IsolationForest,EDP,763,0.7751665063190694,0.33786201463690635
Auto profile ,LocalOutlierFactor,EDP,276,0.9596316744819241,0.44621252330294003
Auto profile ,LocalOutlierFactor,EDP,160,0.8168705028174004,0.3982444751137764
Auto profile ,LocalOutlierFactor,EDP,218,0.9169927474019226,0.4282903816793477
Auto profile ,LocalOutlierFactor,EDP,259,0.4185501191315145,0.3457861549953972
Auto profile ,LocalOutlierFactor,EDP,182,0.9094177540269375,0.4040045960551347
Auto profile ,LocalOutlierFactor,EDP,150,0.7848813045713887,0.3805999704124528
Auto profile ,LocalOutlierFactor,EDP,248,0.34758415622929617,0.3516959483766878
Auto profile ,LocalOutlierFactor,EDP,261,0.430371179446965,0.3420252941140001
Auto profile ,LocalOutlierFactor,EDP,312,0.28959846335254147,0.3439203633524331
Auto profile ,LocalOutlierFactor,EDP,230,0.9477224538263256,0.42231905400199476
Auto profile ,LocalOutlierFactor,EDP,184,0.9094177540269375,0.4040045960551347
Auto profile ,LocalOutlierFactor,EDP,242,0.9462249297155508,0.44080464327369345
Auto profile ,LocalOutlierFactor,EDP,236,0.9596316744819241,0.44621252330294003
Auto profile ,LocalOutlierFactor,EDP,245,0.9633644346871569,0.4475776738795202
Auto profile ,LocalOutlierFactor,EDP,192,0.9399517169941188,0.43211083442688497
Auto profile ,LocalOutlierFactor,EDP,238,0.7368132065960971,0.34229785357682974
Auto profile ,LocalOutlierFactor,EDP,206,0.9224692291757767,0.4408248492727997
Auto profile ,LocalOutlierFactor,EDP,263,0.4408510558634117,0.3423384456793357
Auto profile ,LocalOutlierFactor,EDP,333,0.46450763559768304,0.340622567604457
Auto profile ,LocalOutlierFactor,EDP,255,0.4185501191315145,0.3457861549953972
Auto profile ,LocalOutlierFactor,EDP,248,0.5817560593953922,0.3440877959625431
Auto profile ,LocalOutlierFactor,EDP,293,0.46450763559768304,0.340622567604457
Auto profile ,LocalOutlierFactor,EDP,314,0.6963394881762228,0.3474853514293034
Auto profile ,LocalOutlierFactor,EDP,316,0.3383323820395738,0.34380944686130643
Auto profile ,LocalOutlierFactor,EDP,239,0.7214943970497459,0.3470076816448491
Auto profile ,LocalOutlierFactor,EDP,292,0.46791848089017907,0.3432090221316841
Auto profile ,LocalOutlierFactor,EDP,246,0.551771101428248,0.3434868557398534
Auto profile ,LocalOutlierFactor,EDP,228,0.9483687722963239,0.441516389263318
Auto profile ,LocalOutlierFactor,EDP,249,0.34758415622929617,0.3516959483766878
Auto profile ,LocalOutlierFactor,EDP,317,0.46351194618418,0.33816797134982185
Auto profile ,LocalOutlierFactor,EDP,264,0.9597427153585082,0.4353659185682079
Auto profile ,LocalOutlierFactor,EDP,275,0.46351194618418,0.33816797134982185
Auto profile ,LocalOutlierFactor,EDP,223,0.7790064102564103,0.3687321031147174
Auto profile ,LocalOutlierFactor,EDP,190,0.923683522743388,0.43304536290122003
Auto profile ,LocalOutlierFactor,EDP,236,0.6829150954398787,0.335599903589453
Auto profile ,LocalOutlierFactor,EDP,196,0.9422457347379729,0.4329447121544758
Auto profile ,LocalOutlierFactor,EDP,241,0.7390944753778292,0.3422864277955432
Auto profile ,LocalOutlierFactor,EDP,241,0.6824749336015464,0.3448118779981003
Auto profile ,LocalOutlierFactor,EDP,161,0.8168705028174004,0.3982444751137764
Auto profile ,LocalOutlierFactor,EDP,264,0.9221465801331017,0.4398364908944743
Auto profile ,LocalOutlierFactor,EDP,245,0.9633644346871569,0.4475776738795202
Auto profile ,LocalOutlierFactor,EDP,244,0.7436744804253262,0.34407593060736114
Auto profile ,LocalOutlierFactor,EDP,226,0.9595615952955368,0.44713865780942735
Auto profile ,LocalOutlierFactor,EDP,241,0.7368132065960971,0.34229785357682974
Auto profile ,LocalOutlierFactor,EDP,296,0.4305320182282248,0.36455182514241946
Auto profile ,LocalOutlierFactor,EDP,241,0.4836104840041848,0.35283422316025276
Auto profile ,LocalOutlierFactor,EDP,241,0.9472029398989612,0.4469900096137757
Auto profile ,LocalOutlierFactor,EDP,245,0.6619834277323264,0.3402193805672425
Auto profile ,LocalOutlierFactor,EDP,280,0.5711837001153625,0.3542248165457547
Auto profile ,LocalOutlierFactor,EDP,276,0.3808235867446394,0.34015269576368234
Auto profile ,NeighborProfile,EDP,5470,0.4439557804821608,0.34163289291206683
Auto profile ,NeighborProfile,EDP,23167,0.44748187347368573,0.339829103285383
Auto profile ,NeighborProfile,EDP,4635,0.6919444268138366,0.2892581587624488
Auto profile ,NeighborProfile,EDP,12348,0.4927360066155574,0.330096330463529
Auto profile ,NeighborProfile,EDP,2020,0.4549410243767866,0.3033219600828906
Auto profile ,NeighborProfile,EDP,5019,0.2249700991538625,0.32016008377201083
Auto profile ,NeighborProfile,EDP,2220,0.4196427011861955,0.4129791761740298
Auto profile ,NeighborProfile,EDP,5058,0.5202586600805825,0.4076541403361951
Auto profile ,NeighborProfile,EDP,1260,0.5214394549598275,0.40499738407786284
Auto profile ,NeighborProfile,EDP,4365,0.656770498856966,0.36640474672023937
Auto profile ,NeighborProfile,EDP,13786,0.4424669445656233,0.34133367303811657
Auto profile ,NeighborProfile,EDP,1109,0.5826202623235879,0.3650152538381175
Auto profile ,NeighborProfile,EDP,5381,0.4273284604289539,0.36273297186494846
Auto profile ,NeighborProfile,EDP,10438,0.5179252811492089,0.3127029229767938
Auto profile ,NeighborProfile,EDP,6007,0.5441708565280121,0.3429306448164278
Auto profile ,NeighborProfile,EDP,1887,0.6718657408960297,0.3187516227230661
Auto profile ,NeighborProfile,EDP,10648,0.34039143235798175,0.3145171815316335
Auto profile ,NeighborProfile,EDP,7382,0.2991380101110413,0.3124664893070566
